110;131;132;133;134;140;160;210;231;232;233;234;240;260;310;331;332;333;334;340;360;410                   
3.57;2.9;1.88;6.25;3.22;5.6;7.01;8.33;1.65;2.9;3.56;4.09;5.79;7.61;8.08;4.82;3.06;29.8;34.96;2.66;5.42;2.08
