110;131;132;133;134;140;160;210;231;232;233;234;240;260;310;331;332;333;334;340;360;410                   
1.57;1.9;1.88;1.25;1.22;1.6;1.01;1.33;2.65;1.9;1.56;1.09;1.79;1.61;1.08;1.82;1.06;2.8;3.96;2.66;5.42;2.08
