110;131;132;133;134;140;160;210;231;232;233;234;240;260;310;331;332;333;334;340;360;410                   
6.57;5.9;6.88;6.25;4.22;6.6;5.01;7.33;5.65;5.9;7.56;7.09;7.79;5.61;8.08;6.82;8.06;14.8;5.96;6.66;7.42;8.08
